Code Class,Name,Accession,Normal 1,Normal 2,Tumor 1,Tumor 2
Endogenous1,mmu-miR-331-3p|0,MIMAT0000571,12,24,55,22
Endogenous1,mmu-miR-145|0,MIMAT0000157,303,204,1810,557
Endogenous1,mmu-miR-466d-3p|0,MIMAT0004931,21,11,19,8
Endogenous1,mmu-miR-714|0,MIMAT0003505,59,82,73,20
Endogenous1,mmu-miR-490|0,MIMAT0003780,15,20,22,11
Endogenous1,mmu-miR-882|0,MIMAT0004847,23,12,16,5
Endogenous1,mmu-miR-683|0,MIMAT0003461,16,16,14,9
Endogenous1,mmu-miR-1894-5p|0,MIMAT0007877,13,6,11,7
Endogenous1,mmu-miR-434-5p|0,MIMAT0001421,12,16,12,4
Endogenous1,mmu-miR-678|0,MIMAT0003452,9,16,35,14
Endogenous1,mmu-miR-466l|0,MIMAT0005830,13,9,25,9
Endogenous1,mmu-miR-369-5p|0,MIMAT0003185,18,14,27,9
Endogenous1,mmu-miR-381|0,MIMAT0000746,10,14,20,11
Endogenous1,mmu-miR-701|0,MIMAT0003491,14,20,61,6
Endogenous1,mmu-miR-883a-3p|0,MIMAT0004849,11,11,25,2
Endogenous1,mmu-miR-7a|0,MIMAT0000677,12,13,45,3
Endogenous1,mmu-miR-1941-3p|0,MIMAT0009406,9,8,16,10
Endogenous1,mmu-miR-1188|0,MIMAT0005843,20,11,12,7
Endogenous1,mmu-miR-804|0,MIMAT0004210,36,19,53,19
Endogenous1,mmu-miR-29a|0,MIMAT0000535,1782,1605,6620,2074
Endogenous1,mmu-miR-652|0,MIMAT0003711,22,19,116,50
Endogenous1,mmu-miR-1194|0,MIMAT0005852,14,9,12,2
Endogenous1,mmu-miR-2137|0,MIMAT0011213,10,9,17,8
Endogenous1,mmu-miR-24|0,MIMAT0000219,62,65,532,138
Endogenous1,mmu-miR-29c|0,MIMAT0000536,728,661,2459,1115
Endogenous1,mmu-miR-675-5p|0,MIMAT0003725,23,18,32,15
Endogenous1,mmu-miR-26a|0,MIMAT0000533,73,54,503,162
Endogenous1,mmu-miR-654-3p|0,MIMAT0004898,21,15,17,15
Endogenous1,mmu-miR-369-3p|0,MIMAT0003186,12,12,29,15
Endogenous1,mmu-miR-331-5p|0,MIMAT0004643,15,15,24,9
Endogenous1,mmu-miR-1959|0,MIMAT0009432,18,26,32,19
Endogenous1,mmu-miR-2139|0,MIMAT0011215,25,24,28,23
Endogenous1,mmu-miR-741|0,MIMAT0004236,41,27,60,58
Endogenous1,mmu-miR-483|0,MIMAT0004782,22,12,22,7
Endogenous1,mmu-miR-539|0,MIMAT0003169,20,19,68,34
Endogenous1,mmu-miR-152|0,MIMAT0000162,107,67,532,205
Endogenous1,mmu-miR-191|0,MIMAT0000221,65,49,380,178
Endogenous1,mmu-miR-99b|0,MIMAT0000132,41,38,459,167
Endogenous1,mmu-miR-101b|0,MIMAT0000616,377,258,497,188
Endogenous1,mmu-miR-142-3p|0,MIMAT0000155,77,104,708,170
Endogenous1,mmu-miR-3472|0,MIMAT0015643,21,18,28,8
Endogenous1,mmu-miR-879|0,MIMAT0004842,16,15,18,5
Endogenous1,mmu-miR-181b+mmu-miR-181d|0,MIMAT0000673,15,8,15,8
Endogenous1,mmu-miR-2141|0,MIMAT0011217,12,15,34,12
Endogenous1,mmu-miR-467e|0,MIMAT0005293,27,18,29,13
Endogenous1,mmu-miR-764-3p|0,MIMAT0003895,21,16,77,13
Endogenous1,mmu-miR-192|0,MIMAT0000517,943,758,1557,907
Endogenous1,mmu-miR-431|0,MIMAT0001418,11,11,18,10
Endogenous1,mmu-miR-1892|0,MIMAT0007871,17,11,14,11
Endogenous1,mmu-miR-764-5p|0,MIMAT0003894,20,19,18,9
Endogenous1,mmu-miR-509-5p|0,MIMAT0004890,13,10,19,8
Endogenous1,mmu-miR-1958|0,MIMAT0009431,13,12,12,5
